Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
user user positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0,0,0,0,0,0,0,0,0,0,0
user user user user kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindunnistilahxc2xa0sembahyangxc2xa0pun lahir dari tradisi ritusxc2xa0menyembahhyang yang tunggal sama denganxc2xa0shalat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
kau pendikan tinggi tapi bodohgk ada larang bawa agamabiar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0
user user btp the best abaikan kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
user user si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
user awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu brt ini plng sambil ky nhn ngedendungu xf0x9fx98x8b,1,1,1,0,0,0,1,0,0,1,0,0
pinokio umur 3 taonan tuh 2019gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
user cerita silat lae xf0x9fx98x80 semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china,0,0,0,0,0,0,0,0,0,0,0,0
rt user benci sekali dgn umat islam,1,0,0,1,1,0,0,0,0,0,1,0
user user user provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0
user dari pada gua nete,0,1,0,0,0,0,0,0,0,0,0,0
user lol bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah beratus2 th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
a orang yang suka ke konserkonser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa baguss khofifahemilnomer1,0,0,0,0,0,0,0,0,0,0,0,0
user udah biasa kali gue kpoper tapi kalo ngomonv sama temen2 gue idol gua banci homo,1,1,1,0,0,0,0,1,0,1,0,0
saya suka video user url awal kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya kafir bersungguh klau hal2 islam tidak diendahkan,0,0,0,0,0,0,0,0,0,0,0,0
user user user user xf0x9fx8exb6 la la lahm hmm xf0x9fx8exa7 semua diam semua bisunkita coba tanya sama rumput yg bergoyang nxe2x99xabxe2x99xabxe2x99xabxe2x99xaaxe2x99xaaxe2x99xaa,0,0,0,0,0,0,0,0,0,0,0,0
apabila setan membisikkan waswas kepadamu mintalah perlindungan kepada allah qs alaxe2x80x99raf 200 dan fushilat 36,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user klw ente atheisngapain sibuk dgn agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
user selamat hari kartini 2019gantipresiden 2019presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0
rt user bajingan homonhati2 terhadap anak2 kita terutama di kamar mandi laki2 jgn biarkan sendiri url,1,1,1,0,0,0,0,1,0,1,0,0
user iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
user karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
user yang ngajarin solata ajah itu orang aseng dia hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
user x lo ngomong aja kaga bener bangke,1,1,1,0,0,0,0,0,1,1,0,0
user user kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0
tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo,1,0,0,1,0,1,0,0,0,0,1,0
kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0
user bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
rt user china babi china malingnusirchina httpstco9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena keboohannya nnkalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi rezim sby url,1,0,1,0,0,0,0,0,1,1,0,0
user wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
user user terus menurut lo kitab suci agama apa yg di bilang om user mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0
user suka nutup mata kaga ditutup pun udah terlihat tertutup gara2 sipit,0,0,0,0,0,0,0,0,0,0,0,0
user sy sbg muslim tdk merasa pak user menistakan kitab suci alquran krn dlm alquran sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm,0,0,0,0,0,0,0,0,0,0,0,0
user eh kasar kau kampang,1,1,1,0,0,0,0,0,1,1,0,0
bentar lagi gua rilis album the ontas wkwkwkwkwk,0,0,0,0,0,0,0,0,0,0,0,0
user ada cebong bang dia merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
najis banget gw ngetwit apa barusan wey,0,1,0,0,0,0,0,0,0,0,0,0
kamu transgender atau gmn anjing url,1,1,1,0,0,0,0,1,0,1,0,0
user awas bintitan lu ngintipin titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
user user bawel baper bolot baik bodor gaje wkwk apa ya udah itu aja deh,0,1,0,0,0,0,0,0,0,0,0,0
user user user user gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh,1,1,1,0,1,0,0,0,0,1,0,0
jgn salah target bkn ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
user user masa baru kena hestek aja udah kepanasan kepo banget 2019gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
maju lu sini duit tapi kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo url,0,1,0,0,0,0,0,0,0,0,0,0
user hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belandadl tdk ada yg namanya kristen protestan yg ada cm kristen khatoliknterjadilah perpecahan dan berdirilah hkbp yg prtama kali di tarutungnnnah skrg anda sy k,0,0,0,0,0,0,0,0,0,0,0,0
ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak,0,0,0,0,0,0,0,0,0,0,0,0
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
user user dan yang takut dengan adzan adalah iblis,0,0,0,0,0,0,0,0,0,0,0,0
user user yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
user user user user wuih cebong sewotnxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82,1,1,1,0,0,0,0,0,1,1,0,0
2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
padahal gubernur saat ini djarot mayoritas partai politik di dprd juga pendukung ahok djarot payah ya mereka user url,1,0,1,0,0,0,0,0,1,1,0,0
user rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
saat orang orang saling menuding antek aseng aseng sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
user nah loh katanya anti aseng,0,0,0,0,0,0,0,0,0,0,0,0
selamat pak user semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
asyikm3nang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
user yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,0,0,0,0,0,0,0,0,0,0,0
user anak pecun ga jauh2 dr hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
user que bom sbbsnsn,0,0,0,0,0,0,0,0,0,0,0,0
user istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003,0,0,0,0,0,0,0,0,0,0,0,0
pada 1979 house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
user tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
user ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
user user ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
pendaftaran capres untuk pilpres2019 saja belum dibuka sampai agustus 2018yang normatif begini politikus pdip masih belum paham 2019gantipresiden,1,0,0,1,0,0,0,0,1,0,1,0
si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke laki2,0,1,0,0,0,0,0,0,0,0,0,0
cina perusak bangsa usir stuju,1,0,0,1,0,1,0,0,0,0,0,1
2019gantipresiden scra konstitusional hak setiap rakyat woiii gini nih kalo planga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
mari kita wujudkan pilkada kota bengkulu 2018 aman dan damai cokiadem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0
mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantaraknp tdk ada kristen nusantarabudhahindu bahkan kong huchu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowo yang jago drasex mana sini ngentot sama adek luvian,0,1,0,0,0,0,0,0,0,0,0,0
user kroasia itu kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
user user loh bukan nya mentri suharto ada yg homo,1,1,1,0,0,0,0,1,0,1,0,0
gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setorang memang cukup bangsad mana rupiah turun xf0x9fx98xa5,1,1,1,0,0,0,0,0,1,1,0,0
moga ini ada tindak lanjutnya pelaporan terhadap penista agama ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakarta pusat pada selasa 104 pukul 1300 wib perhaps user,1,0,1,0,1,0,0,0,0,1,0,0
user user user user user user user user bangke hajar,1,1,1,0,0,0,0,0,1,0,0,1
user user user nonta mati klo kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0
url ahok tng mrka trus waswas hdpnya user user user user user user user,1,0,1,0,0,0,0,0,1,1,0,0
itu baru di sul teng ini ekses akibat tersandera hutang china 2019gantipresiden 2019presidenbaru 2019tetapjokowiganti,1,0,1,0,0,0,0,0,1,1,0,0
6 pride yunani xe1xbdx99xcfx80xcexb5xcfx81xcexb7xcfx86xcexb1xcexbdxcexafxcexb1hyperxc4x93phania keangkuhanharga dirikesombonganndikenal juga dengan sebutan hubrisvanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhandan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0
aku bertanya tujuan pada hatinlogikaku yg menjawab ntapi hati tak tenangnaku bertanya pada logika nhatiku sedih nku cari jawaban dalam wasiat yg beliau tinggalkan ndan aku mulai menjadi terasing dan asing di mata manusia ntak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
user tak hanya kurang bertaji nya kpk era initapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era pak sby,1,0,0,1,0,0,0,0,1,0,1,0
rt user admin tolol di partai tololnpartai tolol untuk orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
rt user ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak url,0,1,0,0,0,0,0,0,0,0,0,0
video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di user,0,0,0,0,0,0,0,0,0,0,0,0
ppp jangan buruburu tolak wacana pilkada lewat dprd,0,0,0,0,0,0,0,0,0,0,0,0
random pagi2 ada bapak2 nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnyaningin ku jawab pake air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
user user ko gua kampret,0,1,0,0,0,0,0,0,0,0,0,0
memek lonte pengen disodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi aja yg mundur user tutup url,1,0,1,0,0,0,0,0,1,1,0,0
user ngomong opo itumulut kok seperti bancibeli kaca dulu lihat dirimu broo,1,1,1,0,0,0,0,1,0,1,0,0
user ada amin rasisnada amat daninada ratna si paiiitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat penenang yh,1,1,1,0,0,0,0,0,1,1,0,0
user tunggu komando imam bejat cabul user taik beer xf0x9fx8dxbannape2 bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet berantakan npemecah belah persatuan hanya ad di rezim ini,1,0,0,1,0,0,0,0,1,0,1,0
dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja kxc3xa6k orang bego user ckakakakak,1,1,1,0,0,0,1,0,0,1,0,0
pdiperjuanganmenang dengan menekan perusahaan tambang dgn target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pdip mau menang dasar bajingan,1,1,0,1,0,0,0,0,1,0,1,0
user user ga caya sama mulut buaya mu bwang,1,1,1,0,0,0,0,0,1,1,0,0
2019 jika sby prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana pdip yg incumbent dikalahkan mutlak oleh sby tp jk jkwmegasby melawan prabowo mk pilpres selesai sudah jk 3 poros di pilpres mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
rt user user jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presidens 2019 melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
user user umuh gt persibnpersib kunyuknxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82,1,1,0,1,0,0,0,0,1,0,1,0
user user buat film muslim pilih ahok mati nggak di sholatin dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0
tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu perbedaan ad banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah,0,0,0,0,0,0,0,0,0,0,0,0
user eh kenapa muka merah2 tu tak dpt cendol ke bukan la setan cuaca skrg ni panas,0,1,0,0,0,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo dan aniessandi seberulnya itu media menumpahkan sakit hati katak dan cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
giat bhabinkamtibmas brigpol mbs sihombing pd hari ini rabu 11 april 2018 melaks sambang desa dan tatap muka sekaligus monitoring kamtibmas menuju pilkada 2018 di desa lobusiregar i tepatnya dirumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
syg bgt ya ngeliat perempuan kyk gini gak ada status apa2 tp udah nemplok sm lakilaki sana sini haduhnnagita slavina blakblakan sebut ayu ting ting kampungan xe2x80x93 viva url,0,1,0,0,0,0,0,0,0,0,0,0
user jgn lupa juga kang umat katolik dan minorutas lainnya diperhatika gubernur untuk semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0
user user user user kan ane bukan cebong udeh dibilangin dari maren masih ngeyelnsitu maksa ane jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0
user kelemahan gerindra itu ada di orang iniprabowo turun elektabilitasnya karena congor fadlizon spt durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini,0,0,0,0,0,0,0,0,0,0,0,0
foto memang bisu tpi memiliki banyak arti yg sush diartikansma seperti kamu susah diartikanmau putus atau lanjut,0,0,0,0,0,0,0,0,0,0,0,0
user wakakakaka aku sudah mengalaminya xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82 tetiba muncul grub wa an bani abd hadi aka mbahku dan seketika aku mek kenal beberapa orang saja xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fxa4,0,0,0,0,0,0,0,0,0,0,0,0
abam pres badar n nuqaba pling boekkk dia ni hebat dlm bidang agama x tkut nk tgur member sndiri n selalu wat lawak hambar yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu,0,0,0,0,0,0,0,0,0,0,0,0
seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allahyarham tun abdul razak ds user malaysiamemilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
user user hahaha sialaaan nih si user ternyata klo lg laper presiden juga mau disikat sama doi,0,0,0,0,0,0,0,0,0,0,0,0
user user user mau menasehati kali supaya ga ugal2an nih rezim eh tapi ini negeri sdh keburu ancornah skrg saja ekonomi morat marit kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
user aelaah silit kebeler ngapa dikasianin org makin sayang saya paknsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarinntar gw ceritain duuuhhh xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fx98x85,0,1,0,0,0,0,0,0,0,0,0,0
user iya tdi cacad,0,0,0,0,0,0,0,0,0,0,0,0
user tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya 1 tukang tipu cebong mah gitu goblok nggak ketulungan plonga plongo mengakibatkan optimisme berlebihan 2019gantipresiden,1,1,0,1,0,0,0,0,1,0,1,0
user aku pernah sempat baca ttg harun yahya ini yg membelot ke kubu yahudi dgn freemasonry nyakdg suka ga percaya,0,0,0,0,0,0,0,0,0,0,0,0
kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia nderekgusmus,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user user user user user user user user user user user user user user user,0,0,0,0,0,0,0,0,0,0,0,0
mukidikepedean pertanyaan mudah ya dijawab yg keras tapi saya minta dijawab yg keras siapa nama saya,0,0,0,0,0,0,0,0,0,0,0,0
user kemarin di hujat sekarang mengharap dasar para bani kamprey,1,1,0,1,0,0,0,0,1,0,1,0
